Elapsed time;/
20:38:46,500;20.0
20:38:53,500;20.0
20:39:00,500;19.0
20:39:07,500;19.0
20:39:14,500;18.0
20:39:21,500;15.0
20:39:28,500;21.0
20:39:35,500;19.0
20:39:42,500;18.0
20:39:49,500;18.0
20:39:56,500;19.0
20:40:03,500;21.0
20:40:10,500;20.0
20:40:17,500;18.0
20:40:24,500;19.0
20:40:32,0;18.0
20:40:39,0;20.0
20:40:46,0;18.0
20:40:53,0;21.0
20:41:00,0;18.0
20:41:07,0;18.0
20:41:14,0;19.0
20:41:21,0;18.0
20:41:28,0;18.0
20:41:35,0;18.0
20:41:42,0;18.0
20:41:49,0;18.0
20:41:56,0;18.0
20:42:03,0;19.0
20:42:10,0;19.0
20:42:17,0;18.0
20:42:24,0;22.0
20:42:31,0;18.0
20:42:38,500;21.0
20:42:45,500;19.0
20:42:52,500;18.0
20:42:59,500;18.0
20:43:06,500;18.0
20:43:13,500;18.0
20:43:20,500;18.0
20:43:27,500;19.0
20:43:34,500;19.0
20:43:41,500;18.0
20:43:48,500;17.0
20:43:55,500;18.0
20:44:02,500;18.0
20:44:09,500;18.0
20:44:16,500;19.0
20:44:23,500;18.0
20:44:30,500;16.0
20:44:37,500;17.0
20:44:45,0;19.0
20:44:52,0;18.0
20:44:59,0;17.0
20:45:06,0;19.0
20:45:13,0;17.0
20:45:20,0;18.0
20:45:27,0;18.0
20:45:34,0;17.0
20:45:41,0;18.0
20:45:48,0;18.0
20:45:55,0;23.0
20:46:02,0;14.0
20:46:09,0;18.0
20:46:16,0;18.0
20:46:23,0;17.0
20:46:30,0;18.0
20:46:37,0;19.0
20:46:44,0;18.0
20:46:51,0;17.0
20:46:58,500;17.0
20:47:05,500;21.0
20:47:12,500;16.0
20:47:19,500;18.0
20:47:26,500;17.0
20:47:33,500;18.0
20:47:40,500;18.0
20:47:47,500;18.0
20:47:54,500;17.0
20:48:01,500;16.0
20:48:08,500;17.0
20:48:15,500;20.0
20:48:22,500;18.0
20:48:29,500;18.0
20:48:36,500;17.0
20:48:43,500;16.0
20:48:50,500;17.0
20:48:57,500;17.0
20:49:04,500;15.0
20:49:12,0;17.0
20:49:19,0;19.0
20:49:26,0;20.0
20:49:33,0;17.0
20:49:40,0;18.0
20:49:47,0;17.0
20:49:54,0;19.0
20:50:01,0;19.0
20:50:08,0;17.0
20:50:15,0;16.0
20:50:22,0;18.0
20:50:29,0;16.0
20:50:36,0;18.0
20:50:43,0;16.0
20:50:50,0;21.0
20:50:57,0;18.0
20:51:04,0;16.0
20:51:11,0;17.0
20:51:18,0;16.0
20:51:25,500;19.0
20:51:32,500;17.0
20:51:39,500;18.0
20:51:46,500;19.0
20:51:53,500;17.0
20:52:00,500;13.0
20:52:07,500;16.0
20:52:14,500;17.0
20:52:21,500;14.0
20:52:28,500;17.0
20:52:35,500;16.0
20:52:42,500;16.0
20:52:49,500;16.0
20:52:56,500;18.0
20:53:03,500;17.0
20:53:10,500;17.0
20:53:17,500;16.0
20:53:24,500;16.0
20:53:31,500;19.0
20:53:38,500;17.0
20:53:45,500;17.0
20:53:53,0;16.0
20:54:00,0;15.0
20:54:07,0;18.0
20:54:14,0;17.0
20:54:21,0;16.0
20:54:28,0;16.0
20:54:35,0;16.0
20:54:42,0;16.0
20:54:49,0;17.0
20:54:56,0;16.0
20:55:03,0;16.0
20:55:10,0;16.0
20:55:17,0;18.0
20:55:24,0;16.0
20:55:31,0;18.0
20:55:38,0;16.0
20:55:45,0;16.0
20:55:52,0;16.0
